ST_CASE,VEH_NO,MDRDSTRD,YEAR,FATALS,PER_TYP,INJ_SEV
10275,1,1,2010,1,1.0,0.0
10275,1,1,2010,1,2.0,0.0
10275,2,0,2010,1,1.0,4.0
10276,1,0,2010,1,1.0,4.0
10276,1,0,2010,1,2.0,1.0
10276,2,0,2010,1,1.0,0.0
10277,1,0,2010,1,1.0,3.0
10277,1,0,2010,1,2.0,4.0
10278,1,0,2010,1,1.0,4.0
10278,2,0,2010,1,1.0,3.0
10278,2,0,2010,1,2.0,3.0
10279,1,0,2010,1,1.0,0.0
10280,1,0,2010,1,1.0,4.0
10281,1,0,2010,1,1.0,0.0
10281,1,0,2010,1,2.0,0.0
10282,1,0,2010,1,1.0,4.0
10283,1,0,2010,1,1.0,4.0
10284,1,0,2010,1,1.0,4.0
10285,1,0,2010,1,1.0,0.0
10285,1,0,2010,1,2.0,0.0
10286,1,0,2010,1,1.0,0.0
10286,1,0,2010,1,2.0,0.0
10286,1,0,2010,1,2.0,0.0
10286,1,0,2010,1,2.0,4.0
10287,1,0,2010,1,1.0,4.0
10288,1,0,2010,1,1.0,3.0
10288,1,0,2010,1,2.0,4.0
10288,2,0,2010,1,1.0,0.0
10288,2,0,2010,1,2.0,0.0
10288,3,16,2010,1,,
10288,4,16,2010,1,,
10288,5,16,2010,1,,
10289,1,0,2010,1,1.0,3.0
10290,1,0,2010,1,1.0,4.0
10290,2,0,2010,1,1.0,3.0
10291,1,0,2010,1,1.0,4.0
10292,1,0,2010,1,1.0,3.0
10292,1,0,2010,1,2.0,3.0
10292,2,0,2010,1,1.0,4.0
10293,1,0,2010,1,1.0,4.0
10293,2,0,2010,1,1.0,3.0
10294,1,0,2010,1,1.0,4.0
10294,2,0,2010,1,1.0,3.0
10295,1,0,2010,1,1.0,4.0
10296,1,0,2010,1,1.0,4.0
10296,2,0,2010,1,1.0,3.0
10297,1,0,2010,1,1.0,4.0
10298,1,0,2010,1,1.0,4.0
10299,1,0,2010,1,1.0,4.0
10300,1,0,2010,1,1.0,4.0
10300,1,0,2010,1,2.0,3.0
10300,2,0,2010,1,1.0,0.0
10301,1,0,2010,1,1.0,4.0
10302,1,0,2010,1,1.0,2.0
10302,1,0,2010,1,2.0,2.0
