STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
48,480243,1,1,0,0,0,1,1,201,0,16,1,2014,5,20,58,1,11,1,I-10,,471,29.79028056,-95.05270278,0,52,0,1,19,1,0,8,3,1,0,1,0,0000000,99,98,99,98,88,88,0,0,0,1,1
48,480244,3,3,0,0,0,3,3,139,0,26,1,2014,1,14,21,0,3,3,SR-34,,146,32.273125,-96.67733056,0,12,2,0,1,1,0,1,1,1,0,1,0,0000000,14,37,14,45,15,9,14,0,0,1,0
48,480245,2,2,0,0,0,2,2,201,3280,30,1,2014,5,2,0,1,13,8,FM526 MAXEY RD,WOOD BAYOU DR,24,29.78408333,-95.21869167,0,12,2,0,2,3,0,1,2,1,0,1,0,0000000,2,7,2,11,2,42,0,0,0,1,2
48,480246,2,2,0,0,0,3,3,201,3280,30,1,2014,5,6,20,1,12,8,SS548 HARDY TOLL RD,,23,29.81633333,-95.35266111,0,12,1,0,1,1,0,1,3,10,0,10,0,0000000,6,29,6,38,7,21,23,0,0,1,0
48,480247,2,2,0,0,0,3,3,29,0,5,1,2014,1,21,27,1,1,1,I-10,,41,29.69155278,-98.64662778,0,12,7,0,1,1,0,1,2,10,0,10,0,0000000,21,29,21,33,22,17,0,0,0,1,0
48,480248,2,2,0,0,0,3,3,201,0,14,1,2014,3,20,16,1,14,8,FM525 ALDINE BENDER RD,,35,29.93131389,-95.35579444,0,12,6,0,8,1,0,1,3,10,0,10,0,0000000,20,23,20,30,20,55,0,0,0,1,0
48,480249,2,2,0,0,0,4,4,141,2190,18,1,2014,7,16,26,1,13,8,FM76 NORTH LOOP DR,,76,31.69547778,-106.3105028,0,12,1,0,1,1,0,1,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
48,480250,1,1,0,1,1,1,1,201,0,18,1,2014,7,1,29,0,6,4,CR-BIG DEER DR,,0,29.98780278,-95.10077778,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,99,98,99,98,88,88,0,0,0,1,0
48,480251,1,1,0,0,0,2,2,201,0,19,1,2014,1,0,15,1,12,7,SL 8/SAM HOUSTON PKWY,,92,29.80558056,-95.16371667,0,33,0,1,5,1,0,8,3,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,1
48,480252,2,2,0,0,0,2,2,201,0,19,1,2014,1,18,24,1,11,1,I-45,,427,30.01927778,-95.42916667,0,18,0,1,20,1,0,1,3,1,0,1,0,0000000,18,36,18,48,19,14,0,0,0,1,2
